ï»¿id|name|legend|faction_id|description|
000008340|Fights First|Some warriors attack with blinding speed, landing their blows before their foes can react.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">FIGHTS FIRST</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some warriors attack with blinding speed, landing their blows before their foes can react.</p>Units with this ability that are eligible to fight do so in the <a href="/wh40k10ed/the-rules/core-rules/#1.-Fights-First">Fights First</a> step, provided every model in the unit has this ability.</div>|
000008342|Hover|Some aircraft can use vectored thrusters or anti-grav technology to hover over the battlefield, the better to hunt their prey or deploy embarked troops.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">HOVER</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some aircraft can use vectored thrusters or anti-grav technology to hover over the battlefield, the better to hunt their prey or deploy embarked troops.</p>Some <a href="/wh40k10ed/the-rules/core-rules/#Aircraft"><span class="kwb">AIRCRAFT</span></a> models have âHoverâ listed in their abilities. When you are instructed to <a href="/wh40k10ed/the-rules/core-rules/#Declare-Battle-Formations">Declare Battle Formations</a>, before doing anything else, you must first declare which models from your army with this ability will be in Hover mode.<br><br>If a model is in Hover mode, then until the end of the battle, its Move characteristic is changed to 20", it loses the <span class="kwb">AIRCRAFT</span> keyword and it loses all associated rules for being an <span class="kwb">AIRCRAFT</span> model. Models in Hover mode do not start the battle in <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reserves</a>, but you can choose to place them into <a href="/wh40k10ed/the-rules/core-rules/#Strategic-Reserves">Strategic Reserves</a> following the normal rules if you wish.</div>|
000008343|Deep Strike|Some units make their way to battle via tunnelling, teleportation, high-altitude descent or other extraordinary means that allow them to appear suddenly in the thick of the fighting.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">DEEP STRIKE</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some units make their way to battle via tunnelling, teleportation, high-altitude descent or other extraordinary means that allow them to appear suddenly in the thick of the fighting.</p>During the Declare Battle Formations step, if every model in a unit has this ability, you can set it up in Reserves instead of setting it up on the battlefield. If you do, in the Reinforcements step of one of your Movement phases you can set up this unit anywhere on the battlefield that is more than 9" horizontally away from all enemy models. If a unit with the Deep Strike ability arrives from Strategic Reserves, the controlling player can choose for that unit to be set up either using the rules for Strategic Reserves or using the Deep Strike ability. <br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li>Unit can be set up in Reserves instead of on the battlefield.</li><li>Unit can be set up in your Reinforcements step, more than 9" horizontally away from all enemy models.</li></ul></div></div>|
000008344|Scouts|Scouts form the vanguard of many armies. Unnoticed by the enemy, they range ahead of the main force.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">SCOUTS</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Scouts form the vanguard of many armies. Unnoticed by the enemy, they range ahead of the main force.</p>Some units have âScouts x"â listed in their abilities. If every model in a unit has this ability, then at the start of the first battle round, before the first turn begins, it can make a Normal move of up to x", with the exception that, while making that move, the distance moved by each model in that unit can be greater than that model's Move characteristic, as long as it is not greater than x".<br><br><span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> models can make use of any Scouts x" ability listed in their abilities, or a Scouts x" ability that a unit that starts the battle embarked within that <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> model has (provided only models with this ability are embarked within that <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> model), regardless of how that embarked unit gained this ability (e.g. listed in their abilities, conferred by an Enhancement or by an <span class="tooltip00081" data-tooltip-content="#tooltip_content00081"><span class="tt kwbu">attached</span></span> <span class="kwb">CHARACTER</span>, etc.).<br><br>A unit that moves using this ability must end that move more than 9" horizontally away from all enemy models. If both players have units that can do this, the player who is taking the first turn moves their units first.<br><br><div class="redExample"><b>Example:</b> A unit has the Scouts 6" ability. At the start of the first battle round, the controlling player can make a Normal move with that unit of up to 6".</div><br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li><b>Scouts x":</b> Unit can make a Normal move of up to x" before the first turn begins.</li><li>If embarked in a <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span>, that <span class="kwb">DEDICATED</span> <span class="kwb">TRANSPORT</span> can make this move instead.</li><li>Must end this move more than 9" horizontally away from all enemy models.</li></ul></div></div>|
000008345|Infiltrators|Many armies employ reconnaissance units who can sit concealed, waiting for the right moment to strike.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">INFILTRATORS</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Many armies employ reconnaissance units who can sit concealed, waiting for the right moment to strike.</p>During deployment, if every model in a unit has this ability, then when you set it up, it can be set up anywhere on the battlefield that is more than 9" horizontally away from the enemy deployment zone and all enemy models.</div>|
000008346|Leader|Mighty heroes fight at the forefront of battle.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">LEADER</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Mighty heroes fight at the forefront of battle.</p>Some <span class="kwb">CHARACTER</span> units have âLeaderâ listed on their datasheets. Such <span class="kwb">CHARACTER</span> units are known as Leaders, and the units they can lead â known as their Bodyguard units â are listed on their datasheet.<br><br>During the Declare Battle Formations step, for each Leader in your army, if your army also includes one or more of that Leaderâs Bodyguard units, you can select one of those Bodyguard units. That Leader will then attach to that Bodyguard unit for the duration of the battle and is said to be leading that unit. Each Bodyguard unit can only have one Leader attached to it.<br><br>While a Bodyguard unit contains a Leader, it is known as an Attached unit and, with the exception of rules that are triggered when units are <span class="tooltip00001" data-tooltip-content="#tooltip_content00001"><span class="tt kwbu">destroyed</span></span>, it is treated as a single unit for all rules purposes. Each time an attack targets an Attached unit, until the attacking unit has resolved all of its attacks, you must use the Toughness characteristic of the Bodyguard models in that unit, even if a Leader in that unit has a different Toughness characteristic. Each time an attack sucessfully wounds an Attached unit, that attack cannot be allocated to a <span class="kwb">CHARACTER</span> model in that unit, even if that <span class="kwb">CHARACTER</span> model has lost one or more wounds or has already had attacks allocated to it this phase. As soon as the last Bodyguard model in an Attached unit has been destroyed, any attacks made against that unit that have yet to be allocated can then be allocated to <span class="kwb">CHARACTER</span> models in that unit.<br><br>Each time the last model in a Bodyguard unit is destroyed, each <span class="kwb">CHARACTER</span> unit that is part of that Attached unit is no longer part of an Attached unit. It becomes a separate unit, with its original Starting Strength. If this happens as the result of an attack, they become separate units after the attacking unit has resolved all of its attacks.<br><br>Each time the last model in a <span class="kwb">CHARACTER</span> unit that is attached to a Bodyguard unit is destroyed and there is not another <span class="kwb">CHARACTER</span> unit attached, that Attached unitâs Bodyguard unit is no longer part of an Attached unit. It becomes a separate unit, with its original Starting Strength. If this happens as the result of an attack, they become separate units after the attacking unit has resolved all of its attacks. <br><br>Each time a unit that is part of an Attached unit is destroyed, it does not have the keywords of any other units that make up that Attached unit (unless it has those keywords on its own datasheet) for the purposes of any rules that would be triggered when that unit is destroyed.<br><br><div class="redExample"><b>Example:</b> <i>If you only destroy the Bodyguard unit that is part of an Attached unit, you have not destroyed a <span class="kwb">CHARACTER</span> unit. If you only destroy the <span class="kwb">CHARACTER</span> unit that is part of an Attached unit, or if you destroy the whole Attached unit, you have destroyed one <span class="kwb">CHARACTER</span> unit.</i></div><br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li>Before the battle, <span class="kwb">CHARACTER</span> units with the Leader ability can be attached to one of their Bodyguard units to form an Attached unit.</li><li>Attached units can only contain one Leader.</li><li>Attacks cannot be allocated to <span class="kwb">CHARACTER</span> models in Attached units.</li></ul></div></div>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foeâs forces are laid waste with horrifying speed, until the Emperorâs Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|DG|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one unit from your opponentâs army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the <span class="tooltip00003" data-tooltip-content="#tooltip_content00003" data-tooltip-anchor="#tooltip_content00003"><span class="kwb">BLACK</span> <span class="kwb">TEMPLARS</span></span>, <span class="tooltip00004" data-tooltip-content="#tooltip_content00004" data-tooltip-anchor="#tooltip_content00004"><span class="kwb">BLOOD</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00005" data-tooltip-content="#tooltip_content00005" data-tooltip-anchor="#tooltip_content00005"><span class="kwb">DARK</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00006" data-tooltip-content="#tooltip_content00006" data-tooltip-anchor="#tooltip_content00006"><span class="kwb">DEATHWATCH</span></span> or <span class="tooltip00007" data-tooltip-content="#tooltip_content00007" data-tooltip-anchor="#tooltip_content00007"><span class="kwb">SPACE</span> <span class="kwb">WOLVES</span></span> keywords, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> as well.</li></ul>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foeâs forces are laid waste with horrifying speed, until the Emperorâs Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|TS|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one unit from your opponentâs army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the <span class="tooltip00003" data-tooltip-content="#tooltip_content00003" data-tooltip-anchor="#tooltip_content00003"><span class="kwb">BLACK</span> <span class="kwb">TEMPLARS</span></span>, <span class="tooltip00004" data-tooltip-content="#tooltip_content00004" data-tooltip-anchor="#tooltip_content00004"><span class="kwb">BLOOD</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00005" data-tooltip-content="#tooltip_content00005" data-tooltip-anchor="#tooltip_content00005"><span class="kwb">DARK</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00006" data-tooltip-content="#tooltip_content00006" data-tooltip-anchor="#tooltip_content00006"><span class="kwb">DEATHWATCH</span></span> or <span class="tooltip00007" data-tooltip-content="#tooltip_content00007" data-tooltip-anchor="#tooltip_content00007"><span class="kwb">SPACE</span> <span class="kwb">WOLVES</span></span> keywords, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> as well.</li></ul>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foeâs forces are laid waste with horrifying speed, until the Emperorâs Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|SM|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one unit from your opponentâs army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the <span class="tooltip00003" data-tooltip-content="#tooltip_content00003" data-tooltip-anchor="#tooltip_content00003"><span class="kwb">BLACK</span> <span class="kwb">TEMPLARS</span></span>, <span class="tooltip00004" data-tooltip-content="#tooltip_content00004" data-tooltip-anchor="#tooltip_content00004"><span class="kwb">BLOOD</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00005" data-tooltip-content="#tooltip_content00005" data-tooltip-anchor="#tooltip_content00005"><span class="kwb">DARK</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00006" data-tooltip-content="#tooltip_content00006" data-tooltip-anchor="#tooltip_content00006"><span class="kwb">DEATHWATCH</span></span> or <span class="tooltip00007" data-tooltip-content="#tooltip_content00007" data-tooltip-anchor="#tooltip_content00007"><span class="kwb">SPACE</span> <span class="kwb">WOLVES</span></span> keywords, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> as well.</li></ul>|
000008350|Oath of Moment|In battle, Space Marines swear mighty oaths to destroy the enemies of the Emperor and uphold the honour of their Chapter, and such vows are sacrosanct. When the Angels of Death strike, they do so with the precision of a surgeon and the force of a thunderbolt. Experience and strategic expertise help them to read the shifting shape of the battle with post-human speed and clarity, directing their wrath towards one priority target after another. Command assets are annihilated, leaving the enemy reeling leaderless. Heavy armour, potent artillery and the vaunted elites of the foeâs forces are laid waste with horrifying speed, until the Emperorâs Angels of Death stand victorious over a field of smouldering wreckage and bolt-riddled corpses, and honour is finally satisfied.|CSM|If your Army Faction is <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span>, at the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, select one unit from your opponentâs army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target:<br><ul><li>You can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.</li><li>If you are using a <i>Codex: Space Marines</i> Detachment and your army does not include one or more units with the <span class="tooltip00003" data-tooltip-content="#tooltip_content00003" data-tooltip-anchor="#tooltip_content00003"><span class="kwb">BLACK</span> <span class="kwb">TEMPLARS</span></span>, <span class="tooltip00004" data-tooltip-content="#tooltip_content00004" data-tooltip-anchor="#tooltip_content00004"><span class="kwb">BLOOD</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00005" data-tooltip-content="#tooltip_content00005" data-tooltip-anchor="#tooltip_content00005"><span class="kwb">DARK</span> <span class="kwb">ANGELS</span></span>, <span class="tooltip00006" data-tooltip-content="#tooltip_content00006" data-tooltip-anchor="#tooltip_content00006"><span class="kwb">DEATHWATCH</span></span> or <span class="tooltip00007" data-tooltip-content="#tooltip_content00007" data-tooltip-anchor="#tooltip_content00007"><span class="kwb">SPACE</span> <span class="kwb">WOLVES</span></span> keywords, add 1 to the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> as well.</li></ul>|
